em ,dataset,subject,video,onset,apex,offset,emotion,au,type,duration_frame_full,duration_time_full,duration_frame_half,duration_time_half,Inducement Code,Classes,Notes,selfReport,remarks,filename,length
6,SAMM,6,006_3_4,639,668,702,Sadness,15A+17,micro-expression,64,0.32,30,0.15,3,5,,,,,
7,SAMM,6,006_3_5,1787,1829,1856,Surprise,25+26,micro-expression,70,0.35,43,0.215,3,2,,,,,
8,SAMM,6,006_5_10,1436,1465,1514,Fear,L20+21,micro-expression,79,0.395,30,0.15,5,6,look to the neck,,,,
9,SAMM,6,006_5_11,2130,2190,2226,Anger,4,micro-expression,97,0.485,61,0.305,5,3,while blinking,,,,
10,SAMM,6,006_5_9,5258,5282,5351,Surprise,5,micro-expression,94,0.47,25,0.125,5,2,,,,,
11,SAMM,7,007_3_1,2046,2062,2091,Fear,20,micro-expression,46,0.23,17,0.085,3,6,,,,,
12,SAMM,7,007_4_2,5900,5943,5999,Other,24,micro-expression,100,0.5,44,0.22,4,7,L12?,,,,
13,SAMM,7,007_5_3,2759,2797,2835,Surprise,26,micro-expression,77,0.385,39,0.195,5,7,,,,,
14,SAMM,7,007_5_4,5433,5475,5532,Other,R2,micro-expression,100,0.5,43,0.215,5,7,,,,,
15,SAMM,7,007_6_1,497,511,541,Happiness,(R6 or R12)+R15,micro-expression,45,0.225,15,0.075,6,7,,,,,
16,SAMM,7,007_6_2,1296,1326,1377,Happiness,12,micro-expression,82,0.41,31,0.155,6,1,,,,,
17,SAMM,7,007_6_3,2560,2592,2617,Happiness,R6A+R12,micro-expression,58,0.29,33,0.165,6,1,,,,,
18,SAMM,7,007_6_5,649,673,723,Happiness,(R6 or R12) + R15,micro-expression,75,0.375,25,0.125,6,7,,,,,
19,SAMM,7,007_7_1,7030,7056,7070,Surprise,5B+24,micro-expression,41,0.205,27,0.135,7,2,,,,,
20,SAMM,7,007_7_5,554,585,637,Happiness,12A,micro-expression,84,0.42,32,0.16,7,1,,,,,
21,SAMM,9,009_2_1,3577,3602,3641,Fear,31,micro-expression,65,0.325,26,0.13,2,7,,,,,
22,SAMM,9,009_3_2,1856,1891,1932,Anger,7B,micro-expression,77,0.385,36,0.18,3,7,,,,,
23,SAMM,9,009_3_3,1968,2010,2045,Anger,7B,micro-expression,78,0.39,43,0.215,3,7,,,,,
24,SAMM,9,009_3_4,3334,3370,3419,Surprise,5A,micro-expression,86,0.43,37,0.185,3,2,,,,,
25,SAMM,10,010_2_1,192,206,228,Anger,ref(7B)+43,micro-expression,37,0.185,15,0.075,2,7,,,,,
26,SAMM,10,010_2_8,1211,1239,1288,Anger,7D,micro-expression,78,0.39,29,0.145,2,7,,,,,
27,SAMM,10,010_4_1,3528,3548,3557,Anger,ref(7B)+43C,micro-expression,30,0.15,21,0.105,4,7,,,,,
28,SAMM,10,010_4_2,6708,6730,6738,Anger,7B+ ref(43),micro-expression,31,0.155,23,0.115,4,7,,,,,
29,SAMM,11,011_1_4,3080,3131,3168,Anger,7C,micro-expression,89,0.445,52,0.26,1,7,,,,,
30,SAMM,11,011_2_1,2029,2050,2068,Disgust,A9+12,micro-expression,40,0.2,22,0.11,2,4,Smiles during AU9,,,,
31,SAMM,11,011_2_2,2069,2114,2125,Disgust,9,micro-expression,57,0.285,46,0.23,2,4,,,,,
32,SAMM,11,011_2_3,3885,3921,3974,Disgust,4D+9B,micro-expression,90,0.45,37,0.185,2,4,,,,,
33,SAMM,11,011_2_7,3361,3402,3449,Happiness,7+12,micro-expression,89,0.445,42,0.21,2,1,,,,,
34,SAMM,11,011_3_1,2363,2395,2411,Anger,L7A,micro-expression,49,0.245,33,0.165,3,7,,,,,
35,SAMM,11,011_3_4,2841,2891,2920,Happiness,L12 + 61,micro-expression,80,0.4,51,0.255,3,1,,,,,
36,SAMM,11,011_3_5,2944,3007,3031,Happiness,A12+A7,micro-expression,88,0.44,64,0.32,3,1,Eye movement,,,,
37,SAMM,11,011_3_6,3208,3253,3308,Happiness,A12,micro-expression,101,0.505,46,0.23,3,1,,,,,
38,SAMM,11,011_4_1,6750,6771,6803,Anger,A7,micro-expression,54,0.27,22,0.11,4,7,,,,,
39,SAMM,11,011_4_12,4158,4194,4254,Anger,7C,micro-expression,97,0.485,37,0.185,4,7,Eye movement,,,,
40,SAMM,11,011_4_13,2755,2791,2853,Anger,7,micro-expression,99,0.495,37,0.185,4,7,Eye movement,,,,
41,SAMM,11,011_4_2,2980,3014,3037,Contempt,L12 or L14,micro-expression,58,0.29,35,0.175,4,1,Eye movement,,,,
42,SAMM,11,011_5_1,1048,1071,1088,Contempt,L14,micro-expression,41,0.205,24,0.12,5,7,,,,,
43,SAMM,11,011_6_1,4422,4463,4486,Disgust,10A/B,micro-expression,65,0.325,42,0.21,6,4,,,,,
44,SAMM,11,011_6_13,4523,4585,4619,Happiness,ref(L10)+A12B,micro-expression,97,0.485,63,0.315,6,1,,,,,
45,SAMM,11,011_6_5,2504,2571,2602,Happiness,L12C,micro-expression,99,0.495,68,0.34,6,1,,,,,
46,SAMM,11,011_6_6,2607,2649,2680,Happiness,12C,micro-expression,74,0.37,43,0.215,6,1,,,,,
47,SAMM,11,011_7_1,1220,1236,1269,Disgust,L10,micro-expression,50,0.25,17,0.085,7,4,,,,,
48,SAMM,11,011_7_10,3599,3630,3680,Contempt,L14,micro-expression,82,0.41,32,0.16,7,7,Eye movement,,,,
49,SAMM,12,012_3_1,4621,4651,4676,Fear,7+20+26,micro-expression,56,0.28,31,0.155,3,6,,,,,
50,SAMM,12,012_3_2,4697,4735,4796,Fear,ref(5)+20C+25+26,micro-expression,100,0.5,39,0.195,3,6,Large head movement,,,,
51,SAMM,12,012_7_1,7871,7889,7923,Surprise,5,micro-expression,53,0.265,19,0.095,7,2,Eye movement,,,,
52,SAMM,13,013_1_10,3802,3824,3890,Anger,7,micro-expression,89,0.445,23,0.115,1,7,,,,,
53,SAMM,13,013_1_11,4490,4544,4582,Anger,7A,micro-expression,93,0.465,55,0.275,1,7,,,,,
54,SAMM,13,013_1_12,706,739,802,Anger,7B,micro-expression,97,0.485,34,0.17,1,7,,,,,
55,SAMM,13,013_1_8,841,867,919,Anger,7A,micro-expression,79,0.395,27,0.135,1,7,,,,,
56,SAMM,13,013_1_9,5658,5680,5739,Anger,7,micro-expression,82,0.41,23,0.115,1,7,,,,,
57,SAMM,13,013_7_7,2077,2135,2167,Anger,7B,micro-expression,91,0.455,59,0.295,7,7,Eye movement,,,,
58,SAMM,14,014_1_1,2856,2881,2897,Fear,20,micro-expression,42,0.21,26,0.13,1,6,,,,,
59,SAMM,14,014_1_5,1166,1213,1252,Other,24,micro-expression,87,0.435,48,0.24,1,7,,,,,
60,SAMM,14,014_2_3,4616,4645,4705,Surprise,5C,micro-expression,90,0.45,30,0.15,2,2,Eye movement,,,,
61,SAMM,14,014_2_4,3874,3925,3968,Happiness,12B,micro-expression,95,0.475,52,0.26,2,1,Blinks,,,,
62,SAMM,14,014_3_3,2635,2646,2714,Happiness,12A+ref(24),micro-expression,80,0.4,12,0.06,3,1,Blinks,,,,
63,SAMM,14,014_3_4,1426,1457,1523,Happiness,12+24,micro-expression,98,0.49,32,0.16,3,1,Blinks and head movement,,,,
64,SAMM,14,014_5_2,469,498,557,Contempt,R12 or R14,micro-expression,89,0.445,30,0.15,5,7,,,,,
65,SAMM,14,014_6_1,1316,1334,1350,Happiness,L12A,micro-expression,35,0.175,19,0.095,6,1,Eye movement,,,,
66,SAMM,14,014_6_2,1190,1221,1253,Happiness,12A,micro-expression,64,0.32,32,0.16,6,1,Half blink,,,,
67,SAMM,14,014_6_3,128,171,196,Happiness,A/L12,micro-expression,69,0.345,44,0.22,6,1,,,,,
68,SAMM,14,014_7_1,3529,3560,3598,Happiness,L12A,micro-expression,70,0.35,32,0.16,7,1,,,,,
69,SAMM,15,015_5_1,6380,6406,6442,Sadness,A1,micro-expression,63,0.315,27,0.135,5,5,Slight eye movement,,,,
70,SAMM,15,015_5_2,6587,6615,6659,Contempt,L14,micro-expression,73,0.365,29,0.145,5,7,,,,,
71,SAMM,15,015_5_3,6050,6073,6127,Surprise,1+2,micro-expression,78,0.39,24,0.12,5,2,Slight eye movement,,,,
72,SAMM,16,016_7_1,2275,2299,2323,Anger,7D+ref(43),micro-expression,49,0.245,25,0.125,7,7,Blinks,,,,
73,SAMM,16,016_7_2,3840,3854,3892,Surprise,1+2,micro-expression,53,0.265,15,0.075,7,2,Blinks,,,,
74,SAMM,16,016_7_3,4395,4421,4447,Anger,4,micro-expression,53,0.265,27,0.135,7,3,Eye movement,,,,
75,SAMM,16,016_7_5,6120,6155,6207,Surprise,5C,micro-expression,88,0.44,36,0.18,7,2,Eye movements,,,,
76,SAMM,16,016_7_8,12256,12324,12349,Happiness,12,micro-expression,94,0.47,69,0.345,7,1,Slight head movement,,,,
77,SAMM,17,017_3_1,312,337,387,Contempt,R14,micro-expression,76,0.38,26,0.13,3,7,Eye movement,,,,
78,SAMM,17,017_3_2,83,116,165,Surprise,1A+2B+L14C,micro-expression,83,0.415,34,0.17,3,7,Eye movement,,,,
79,SAMM,17,017_3_3,1393,1489,1492,Other,R2,micro-expression,100,0.5,97,0.485,3,7,,,,,
80,SAMM,17,017_3_4,174,199,264,Contempt,L14C,micro-expression,91,0.455,26,0.13,3,7,Eye movement,,,,
81,SAMM,17,017_6_1,1107,1143,1178,Anger,7,micro-expression,72,0.36,37,0.185,6,7,Eye movement,,,,
82,SAMM,17,017_6_2,916,960,1008,Other,R2A,micro-expression,93,0.465,45,0.225,6,7,,,,,
83,SAMM,18,018_1_4,10521,10570,10607,Other,R2B,micro-expression,87,0.435,50,0.25,1,7,,,,,
84,SAMM,18,018_3_1,1405,1456,1500,Disgust,A9E+ref(10),micro-expression,96,0.48,52,0.26,3,4,,,,,
85,SAMM,18,018_5_1,6991,7026,7060,Sadness,17,micro-expression,70,0.35,36,0.18,5,7,,,,,
86,SAMM,18,018_7_1,10133,10156,10175,Surprise,5,micro-expression,43,0.215,24,0.12,7,2,Slight eye movement,,,,
87,SAMM,19,019_3_2,872,908,971,Other,L2A,micro-expression,100,0.5,37,0.185,3,7,,,,,
88,SAMM,19,019_4_1,4496,4517,4550,Happiness,12B,micro-expression,55,0.275,22,0.11,4,1,,,,,
89,SAMM,19,019_5_1,5227,5268,5308,Other,L2,micro-expression,82,0.41,42,0.21,5,7,Blinks,,,,
90,SAMM,20,020_1_1,2804,2823,2837,Other,L2,micro-expression,34,0.17,20,0.1,1,7,,,,,
91,SAMM,20,020_1_2,2728,2746,2783,Other,L2,micro-expression,56,0.28,19,0.095,1,7,,,,,
92,SAMM,20,020_1_3,7251,7275,7325,Other,B18+25,micro-expression,75,0.375,25,0.125,1,7,,,,,
93,SAMM,20,020_1_4,8114,8131,8209,Other,8+25,micro-expression,96,0.48,18,0.09,1,7,,,,,
94,SAMM,20,020_4_1,3440,3469,3497,Contempt,14+25+26,micro-expression,58,0.29,30,0.15,4,7,,,,,
95,SAMM,20,020_4_2,1482,1516,1528,Happiness,L12A+25,micro-expression,47,0.235,35,0.175,4,1,,,,,
96,SAMM,20,020_7_1,8518,8551,8577,Anger,A7,micro-expression,60,0.3,34,0.17,7,7,Mainly on left side,,,,
97,SAMM,20,020_7_10,9071,9140,9165,Happiness,L2C+12,micro-expression,95,0.475,70,0.35,7,7,,,,,
98,SAMM,20,020_7_2,147,181,238,Other,L2,micro-expression,92,0.46,35,0.175,7,7,Slight eye movement,,,,
99,SAMM,21,021_7_1,5589,5621,5646,Anger,L4,micro-expression,58,0.29,33,0.165,7,3,Eye movement,,,,
100,SAMM,21,021_7_2,2853,2882,2942,Anger,4,micro-expression,90,0.45,30,0.15,7,3,,,,,
101,SAMM,22,022_2_3,402,438,501,Anger,7,micro-expression,100,0.5,37,0.185,2,7,,,,,
102,SAMM,22,022_3_2,380,421,428,Anger,7A,micro-expression,49,0.245,42,0.21,3,7,Eye movement,,,,
103,SAMM,22,022_3_3,3659,3683,3697,Happiness,7C+A12B,micro-expression,39,0.195,25,0.125,3,1,Eye movement,,,,
104,SAMM,22,022_4_1,492,505,569,Anger,7,micro-expression,78,0.39,14,0.07,4,7,,,,,
105,SAMM,22,022_5_1,335,357,405,Happiness,A12,micro-expression,71,0.355,23,0.115,5,1,Eye movement,,,,
106,SAMM,23,023_1_1,5024,5037,5074,Anger,17,micro-expression,51,0.255,14,0.07,1,7,Eye movement,,,,
107,SAMM,24,024_2_1,3763,3779,3835,Disgust,31,micro-expression,73,0.365,17,0.085,2,7,,,,,
108,SAMM,25,025_4_1,4328,4371,4408,Other,T18+39,micro-expression,81,0.405,44,0.22,4,7,Blinks,,,,
109,SAMM,25,025_4_2,2116,2130,2202,Other,13+39,micro-expression,87,0.435,15,0.075,4,7,Blinks,,,,
110,SAMM,25,025_5_1,2840,2873,2937,Other,4+13+T18+39,micro-expression,98,0.49,34,0.17,5,7,Blinks,,,,
111,SAMM,25,025_6_1,2822,2851,2896,Other,13+T18+39,micro-expression,75,0.375,30,0.15,6,7,,,,,
112,SAMM,26,026_1_1,295,323,370,Anger,4+6+7+9+43E,micro-expression,76,0.38,29,0.145,1,7,Blinks hard,,,,
113,SAMM,26,026_1_2,117,146,203,Other,L2,micro-expression,87,0.435,30,0.15,1,7,Blinks,,,,
114,SAMM,26,026_2_1,2881,2918,2947,Anger,7D,micro-expression,67,0.335,38,0.19,2,7,,,,,
115,SAMM,26,026_2_2,2952,2978,3028,Anger,4D+ref(6)+7C+43E,micro-expression,77,0.385,27,0.135,2,3,Blinks hard,,,,
116,SAMM,26,026_2_3,2607,2642,2685,Anger,4B+7B+43E,micro-expression,79,0.395,36,0.18,2,3,Blinks hard,,,,
117,SAMM,26,026_2_4,4015,4038,4098,Other,2C,micro-expression,84,0.42,24,0.12,2,7,Blinks,,,,
118,SAMM,26,026_3_3,1704,1736,1737,Anger,7B,micro-expression,34,0.17,33,0.165,3,7,,,,,
119,SAMM,26,026_3_4,3582,3608,3640,Anger,7B,micro-expression,59,0.295,27,0.135,3,7,Slight head movement,,,,
120,SAMM,26,026_5_1,5073,5089,5146,Contempt,R14+17+soft focus,micro-expression,74,0.37,17,0.085,5,7,Blinks,,,,
121,SAMM,26,026_6_1,3848,3882,3941,Contempt,R14+R17,micro-expression,94,0.47,35,0.175,6,7,,,,,
122,SAMM,26,026_7_1,2848,2871,2947,Other,L2,micro-expression,100,0.5,24,0.12,7,7,Blinks,,,,
123,SAMM,26,026_7_2,5579,5603,5654,Other,L2,micro-expression,76,0.38,25,0.125,7,7,Blinks,,,,
124,SAMM,26,026_7_3,2750,2783,2844,Disgust,R10,micro-expression,95,0.475,34,0.17,7,4,Eye movement,,,,
125,SAMM,28,028_4_1,1071,1134,1143,Contempt,A14C,micro-expression,73,0.365,64,0.32,4,7,Blinks,,,,
126,SAMM,28,028_4_3,370,424,441,Surprise,5B,micro-expression,72,0.36,55,0.275,4,2,,,,,
127,SAMM,28,028_4_4,1288,1367,1376,Surprise,5A,micro-expression,89,0.445,80,0.4,4,2,,,,,
128,SAMM,30,030_1_1,2379,2422,2460,Anger,4A/B,micro-expression,82,0.41,44,0.22,1,3,,,,,
129,SAMM,30,030_1_2,6344,6392,6434,Anger,4,micro-expression,91,0.455,49,0.245,1,3,Blinks,,,,
130,SAMM,30,030_5_1,1921,1960,2001,Anger,4A,micro-expression,81,0.405,40,0.2,5,3,Eye movement,,,,
131,SAMM,31,031_3_1,3831,3852,3886,Anger,7B,micro-expression,56,0.28,22,0.11,3,7,,,,,
132,SAMM,32,032_3_1,4896,4930,4970,Anger,4A,micro-expression,75,0.375,35,0.175,3,3,,,,,
133,SAMM,32,032_3_2,5126,5127,5207,Anger,4A,micro-expression,82,0.41,2,0.01,3,3,,,,,
134,SAMM,32,032_3_3,3425,3464,3469,Other,24+38,micro-expression,45,0.225,40,0.2,3,7,,,,,
135,SAMM,32,032_4_1,3307,3328,3371,Other,24,micro-expression,65,0.325,22,0.11,4,7,,,,,
136,SAMM,32,032_4_2,408,436,479,Anger,7,micro-expression,72,0.36,29,0.145,4,7,,,,,
137,SAMM,32,032_6_1,4307,4325,4366,Sadness,A1,micro-expression,60,0.3,19,0.095,6,5,,,,,
138,SAMM,33,033_1_3,5957,5988,6009,Happiness,12+39,micro-expression,53,0.265,32,0.16,1,1,,,,,
139,SAMM,33,033_1_4,6541,6573,6609,Sadness,12+15 ,micro-expression,69,0.345,33,0.165,1,7,Blinks,,,,
140,SAMM,33,033_1_5,6889,6926,6973,Anger,7,micro-expression,85,0.425,38,0.19,1,7,,,,,
141,SAMM,33,033_2_1,695,749,776,Anger,4A,micro-expression,82,0.41,55,0.275,2,3,,,,,
142,SAMM,33,033_2_2,2117,2149,2215,Anger,7,micro-expression,99,0.495,33,0.165,2,7,,,,,
143,SAMM,34,034_3_1,3129,3159,3217,Anger,7B,micro-expression,89,0.445,31,0.155,3,7,,,,,
144,SAMM,34,034_7_2,1578,1612,1655,Anger,7B,micro-expression,78,0.39,35,0.175,7,7,Eye movement and tilted head,,,,
145,SAMM,34,034_7_3,3636,3672,3719,Anger,7B+56,micro-expression,84,0.42,37,0.185,7,7,Eye movement and tilted head,,,,
146,SAMM,35,035_1_1,9649,9667,9691,Anger,4,micro-expression,43,0.215,19,0.095,1,3,,,,,
147,SAMM,35,035_4_1,231,245,263,Anger,7,micro-expression,33,0.165,15,0.075,4,7,,,,,
148,SAMM,35,035_4_2,1509,1534,1574,Anger,4,micro-expression,66,0.33,26,0.13,4,3,,,,,
149,SAMM,35,035_5_1,408,427,468,Other,38,micro-expression,61,0.305,20,0.1,5,7,Eye movement,,,,
150,SAMM,35,035_5_2,2409,2443,2473,Sadness,17,micro-expression,65,0.325,35,0.175,5,7,,,,,
151,SAMM,35,035_5_3,253,293,341,Fear,R20,micro-expression,89,0.445,41,0.205,5,6,,,,,
152,SAMM,35,035_6_3,180,210,236,Fear,R20B,micro-expression,57,0.285,31,0.155,6,6,,,,,
153,SAMM,35,035_7_1,7809,7819,7853,Surprise,A1B+A2C,micro-expression,45,0.225,11,0.055,7,2,,,,,
154,SAMM,35,035_7_2,823,855,918,Contempt,R14A or 17A or 24A,micro-expression,96,0.48,33,0.165,7,7,,,,,
155,SAMM,36,036_7_3,2264,2339,2363,Disgust,R10A+25+26,micro-expression,100,0.5,76,0.38,7,4,Stays with 25+26 and eye movement,,,,
156,SAMM,37,037_3_1,3306,3342,3382,Other,24,micro-expression,77,0.385,37,0.185,3,7,,,,,
157,SAMM,37,037_3_2,3196,3214,3295,Anger,T23,micro-expression,100,0.5,19,0.095,3,3,,,,,
158,SAMM,37,037_4_1,1488,1529,1577,Other,24,micro-expression,90,0.45,42,0.21,4,7,,,,,
10,CASME_sq,1,disgust2_3,699,703,707,others,43,micro-expression,9,0.3,5,0.166666667,,,,disgust,,,
12,CASME_sq,1,happy1_1,138,142,148,others,43,micro-expression,11,0.366666667,5,0.166666667,,,,happiness,,,
32,CASME_sq,2,disgust1_3,552,559,565,surprise,1+2,micro-expression,14,0.466666667,8,0.266666667,,,,disgust,,,
40,CASME_sq,2,disgust2_3,270,275,278,negative,10,micro-expression,9,0.3,6,0.2,,,,disgust,,,
47,CASME_sq,2,happy1_1,323,329,334,surprise,1+2,micro-expression,12,0.4,7,0.233333333,,,,happiness,,,
55,CASME_sq,2,happy3_2,396,400,407,others,2,micro-expression,12,0.4,5,0.166666667,,,,happiness,,,
61,CASME_sq,2,happy3_8,1695,1703,1710,others,2,micro-expression,16,0.533333333,9,0.3,,,,happiness,,,
62,CASME_sq,2,happy3_9,1880,1886,1895,others,2,micro-expression,16,0.533333333,7,0.233333333,,,,happiness,,,
67,CASME_sq,2,happy4_3,1958,1961,1968,surprise,1+2,micro-expression,11,0.366666667,4,0.133333333,,,,surprise,,,
68,CASME_sq,2,happy4_4,2285,2291,2295,positive,6+12+14,micro-expression,11,0.366666667,7,0.233333333,,,,happiness,,,
73,CASME_sq,3,anger2_1,1927,1933,1942,others,14,micro-expression,16,0.533333333,7,0.233333333,,,,fear,,,
100,CASME_sq,7,disgust2_1,331,335,346,others,43,micro-expression,16,0.533333333,5,0.166666667,,,,disgust,,,
101,CASME_sq,7,disgust2_2,526,530,540,others,43,micro-expression,15,0.5,5,0.166666667,,,,disgust,,,
102,CASME_sq,7,disgust2_3,727,732,740,others,43,micro-expression,14,0.466666667,6,0.2,,,,disgust,,,
110,CASME_sq,8,anger1_3,608,615,621,others,43,micro-expression,14,0.466666667,8,0.266666667,,,,surprise,,,
111,CASME_sq,8,anger1_4,963,967,977,negative,4,micro-expression,15,0.5,5,0.166666667,,,,pain,,,
113,CASME_sq,8,anger1_6,1890,1898,1902,negative,4,micro-expression,13,0.433333333,9,0.3,,,,anger,,,
115,CASME_sq,8,anger1_8,2181,2187,2193,negative,4,micro-expression,13,0.433333333,7,0.233333333,,,,helpless,,,
119,CASME_sq,8,anger1_12,3441,3447,3453,negative,4,micro-expression,13,0.433333333,7,0.233333333,,,,anger,,,
132,CASME_sq,8,happy4_5,1836,1842,1848,positive,12,micro-expression,13,0.433333333,7,0.233333333,,,,happiness,,,
134,CASME_sq,8,happy4_7,1951,1957,1965,surprise,1+2,micro-expression,15,0.5,7,0.233333333,,,,happiness,,,
139,CASME_sq,8,happy4_12,3233,3239,3248,positive,12,micro-expression,16,0.533333333,7,0.233333333,,,,happiness,,,
140,CASME_sq,9,disgust1_1,113,118,127,negative,4,micro-expression,15,0.5,6,0.2,,,,pain,,,
142,CASME_sq,9,disgust2_2,996,1003,1008,negative,4+7,micro-expression,13,0.433333333,8,0.266666667,,,,disgust,,,
143,CASME_sq,9,disgust2_3,1008,1013,1017,negative,4,micro-expression,10,0.333333333,6,0.2,,,,disgust,,,
144,CASME_sq,9,disgust2_4,1018,1024,1034,negative,4,micro-expression,17,0.566666667,7,0.233333333,,,,disgust,,,
155,CASME_sq,11,anger1_1,352,357,365,negative,4+5,micro-expression,14,0.466666667,6,0.2,,,,surprise,,,
156,CASME_sq,11,anger1_2,369,374,382,negative,4+5,micro-expression,14,0.466666667,6,0.2,,,,surprise,,,
157,CASME_sq,11,anger1_3,1135,1139,1147,negative,4,micro-expression,13,0.433333333,5,0.166666667,,,,anger,,,
160,CASME_sq,11,anger1_6,1974,1979,1986,negative,4+14,micro-expression,13,0.433333333,6,0.2,,,,anger,,,
166,CASME_sq,11,disgust1_2,874,880,888,negative,4+5,micro-expression,15,0.5,7,0.233333333,,,,disgust,,,
171,CASME_sq,11,disgust2_1,34,39,48,others,43,micro-expression,15,0.5,6,0.2,,,,disgust,,,
172,CASME_sq,11,disgust2_2,309,314,317,negative,4+5+7+9,micro-expression,9,0.3,6,0.2,,,,surprise,,,
174,CASME_sq,11,disgust2_4,374,377,388,negative,4,micro-expression,15,0.5,4,0.133333333,,,,disgust,,,
183,CASME_sq,11,happy1_4,613,619,628,positive,5+12,micro-expression,16,0.533333333,7,0.233333333,,,,happiness,,,
188,CASME_sq,11,happy2_2,419,423,432,positive,12,micro-expression,14,0.466666667,5,0.166666667,,,,happiness,,,
194,CASME_sq,11,happy4_2,876,883,890,others,43,micro-expression,15,0.5,8,0.266666667,,,,surprise,,,
198,CASME_sq,12,happy1_1,140,143,152,others,7,micro-expression,13,0.433333333,4,0.133333333,,,,fear,,,
200,CASME_sq,13,anger1_2,926,933,941,others,43,micro-expression,16,0.533333333,8,0.266666667,,,,anger,,,
203,CASME_sq,13,disgust1_1,1455,1460,1466,others,20,micro-expression,12,0.4,6,0.2,,,,disgust,,,
222,CASME_sq,14,anger2_2,1689,1694,1702,others,39,micro-expression,14,0.466666667,6,0.2,,,,anger,,,
224,CASME_sq,14,anger2_4,2190,2197,2204,surprise,1+2,micro-expression,15,0.5,8,0.266666667,,,,anger,,,
226,CASME_sq,14,anger2_6,2377,2383,2389,surprise,1+2,micro-expression,13,0.433333333,7,0.233333333,,,,surprise,,,
230,CASME_sq,14,anger2_10,3803,3808,3815,others,39,micro-expression,13,0.433333333,6,0.2,,,,anger,,,
237,CASME_sq,14,disgust1_7,1421,1426,1433,others,18,micro-expression,13,0.433333333,6,0.2,,,,disgust,,,
242,CASME_sq,14,happy3_1,1046,1054,1059,others,24,micro-expression,14,0.466666667,9,0.3,,,,happiness,,,
250,CASME_sq,15,anger1_1,268,272,278,negative,4,micro-expression,11,0.366666667,5,0.166666667,,,,fear,,,
276,CASME_sq,15,happy1_2,311,320,324,surprise,1+2+5+19,micro-expression,14,0.466666667,10,0.333333333,,,,surprise,,,
280,CASME_sq,15,happy1_6,1171,1175,1184,surprise,1+2,micro-expression,14,0.466666667,5,0.166666667,,,,surprise,,,
283,CASME_sq,15,happy2_1,258,264,272,positive,1+2+6+12,micro-expression,15,0.5,7,0.233333333,,,,happiness,,,
289,CASME_sq,15,happy2_7,1031,1037,1044,negative,4,micro-expression,14,0.466666667,7,0.233333333,,,,disgust,,,
303,CASME_sq,15,happy5_1,286,291,301,negative,4+7,micro-expression,16,0.533333333,6,0.2,,,,fear,,,
311,CASME_sq,18,disgust2_1,100,106,113,negative,4+14,micro-expression,14,0.466666667,7,0.233333333,,,,disgust,,,
312,CASME_sq,18,disgust2_2,363,367,371,surprise,1+2,micro-expression,9,0.3,5,0.166666667,,,,surprise,,,
321,CASME_sq,20,anger2_5,3502,3508,3514,negative,4,micro-expression,13,0.433333333,7,0.233333333,,,,sadness,,,
339,CASME_sq,20,happy5_3,418,423,430,positive,12,micro-expression,13,0.433333333,6,0.2,,,,happiness,,,
351,CASME_sq,21,happy4_6,2232,2239,2247,positive,12+38,micro-expression,16,0.533333333,8,0.266666667,,,,happiness,,,
0,SMIC_HS,s1,ne_01,559740,-1,559775,negative,,micro-expression,36,0.36,-559740,-5597.4,,,,,,,
1,SMIC_HS,s1,ne_02,563854,-1,563885,negative,,micro-expression,32,0.32,-563854,-5638.54,,,,,,,
2,SMIC_HS,s1,ne_03,658536,-1,658562,negative,,micro-expression,27,0.27,-658536,-6585.36,,,,,,,
3,SMIC_HS,s1,po_01,701843,-1,701865,positive,,micro-expression,23,0.23,-701843,-7018.43,,,,,,,
4,SMIC_HS,s1,po_02,702609,-1,702638,positive,,micro-expression,30,0.3,-702609,-7026.09,,,,,,,
5,SMIC_HS,s1,sur_01,549990,-1,550022,surprise,,micro-expression,33,0.33,-549990,-5499.9,,,,,,,
6,SMIC_HS,s2,po_01,76518,-1,76546,positive,,micro-expression,29,0.29,-76518,-765.18,,,,,,,
7,SMIC_HS,s2,sur_01,90868,-1,90894,surprise,,micro-expression,27,0.27,-90868,-908.68,,,,,,,
8,SMIC_HS,s2,sur_02,106180,-1,106214,surprise,,micro-expression,35,0.35,-106180,-1061.8,,,,,,,
9,SMIC_HS,s2,sur_03,112010,-1,112050,surprise,,micro-expression,41,0.41,-112010,-1120.1,,,,,,,
10,SMIC_HS,s2,sur_04,131313,-1,131347,surprise,,micro-expression,35,0.35,-131313,-1313.13,,,,,,,
11,SMIC_HS,s2,sur_05,219114,-1,219143,surprise,,micro-expression,30,0.3,-219114,-2191.14,,,,,,,
12,SMIC_HS,s3,ne_01,257900,-1,257925,negative,,micro-expression,26,0.26,-257900,-2579,,,,,,,
13,SMIC_HS,s3,ne_02,302330,-1,302356,negative,,micro-expression,27,0.27,-302330,-3023.3,,,,,,,
14,SMIC_HS,s3,ne_03,302370,-1,302380,negative,,micro-expression,11,0.11,-302370,-3023.7,,,,,,,
15,SMIC_HS,s3,ne_04,303090,-1,303110,negative,,micro-expression,21,0.21,-303090,-3030.9,,,,,,,
16,SMIC_HS,s3,ne_05,304365,-1,304390,negative,,micro-expression,26,0.26,-304365,-3043.65,,,,,,,
17,SMIC_HS,s3,ne_06,304979,-1,305020,negative,,micro-expression,42,0.42,-304979,-3049.79,,,,,,,
